2.0000000000000000e+00	9.4577223211913530e-02	4.8150273526026410e-04	9.4095720476653266e-02
3.0000000000000000e+00	1.8558082305196177e-02	2.1397306116111015e-04	1.8344109244035067e-02
4.0000000000000000e+00	5.9221515191923979e-03	1.2035429621093385e-04	5.8017972229814641e-03
5.0000000000000000e+00	2.4689877142696215e-03	7.7025104426420299e-05	2.3919626098432012e-03
6.0000000000000000e+00	1.2200834777489344e-03	5.3489035094500537e-05	1.1665944426544339e-03
7.0000000000000000e+00	6.7837411634663614e-04	3.9297791561754281e-05	6.3907632478488186e-04
8.0000000000000000e+00	4.1137957560088978e-04	3.0087234979325750e-05	3.8129234062156403e-04
9.0000000000000000e+00	2.6665925082824948e-04	2.3772556062118255e-05	2.4288669476613123e-04
1.0000000000000000e+01	1.8221905928439419e-04	1.9255727495171016e-05	1.6296333178922318e-04
1.1000000000000000e+01	1.2996434871714868e-04	1.5913798147693115e-05	1.1405055056945557e-04
1.2000000000000000e+01	9.6032504461662782e-05	1.3371994177391322e-05	8.2660510284271460e-05
1.3000000000000000e+01	7.3096513957149334e-05	1.1393877418552911e-05	6.1702636538596423e-05
1.4000000000000000e+01	5.7057358404333236e-05	9.8243050513646679e-06	4.7233053352968568e-05
1.5000000000000000e+01	4.5509661298126503e-05	8.5580559370246334e-06	3.6951605361101869e-05
