1.0000000000000000e+00	2.2519200000000001e+02	2.2449199999999999e+02	2.2369200000000001e+02	2.2437500000000000e+02	2.2550200000000001e+02	2.2486400000000000e+02	2.2468600000000001e+02	2.2474000000000001e+02	2.2420800000000000e+02	
1.2500000000000000e+00	2.7656200000000001e+02	2.7695200000000000e+02	2.7642800000000000e+02	2.7652699999999999e+02	2.7640600000000001e+02	2.7719999999999999e+02	2.7677100000000002e+02	2.7618799999999999e+02	2.7640199999999999e+02	
1.5000000000000000e+00	3.3214900000000000e+02	3.3316500000000002e+02	3.3291300000000001e+02	3.3275700000000001e+02	3.3291800000000001e+02	3.3237599999999998e+02	3.3238000000000000e+02	3.3227999999999997e+02	3.3377199999999999e+02	
1.7500000000000000e+00	3.8410300000000001e+02	3.8406700000000001e+02	3.8457799999999997e+02	3.8532499999999999e+02	3.8365800000000002e+02	3.8347100000000000e+02	3.8362000000000000e+02	3.8301799999999997e+02	3.8428199999999998e+02	
2.0000000000000000e+00	4.3847300000000001e+02	4.5388499999999999e+02	4.3829599999999999e+02	4.3880200000000002e+02	4.3947199999999998e+02	4.5529000000000002e+02	4.3874200000000002e+02	4.3983100000000002e+02	4.3901799999999997e+02	
2.2500000000000000e+00	5.1327300000000002e+02	5.0670499999999998e+02	5.0384500000000003e+02	5.1839700000000005e+02	4.9885300000000001e+02	5.1741700000000003e+02	5.0513799999999998e+02	5.1052199999999999e+02	5.1667499999999995e+02	
2.5000000000000000e+00	5.7022500000000002e+02	5.6642700000000002e+02	5.7373099999999999e+02	5.7560199999999998e+02	5.7348299999999995e+02	5.7531500000000005e+02	5.7459400000000005e+02	5.7301300000000003e+02	5.7333000000000004e+02	
2.7500000000000000e+00	6.3033500000000004e+02	6.2423199999999997e+02	6.2765599999999995e+02	6.3115300000000002e+02	6.3113699999999994e+02	6.2948699999999997e+02	6.2832000000000005e+02	6.2706200000000001e+02	6.3249500000000000e+02	
3.0000000000000000e+00	6.8325599999999997e+02	6.8699199999999996e+02	6.8676900000000001e+02	6.8389300000000003e+02	6.8486500000000001e+02	6.8708799999999997e+02	6.8732000000000005e+02	6.8602099999999996e+02	6.8123800000000006e+02	
3.2500000000000000e+00	7.4512000000000000e+02	7.4730999999999995e+02	7.4490899999999999e+02	7.3197299999999996e+02	7.4994700000000000e+02	7.4580300000000000e+02	7.4172500000000002e+02	7.3756500000000005e+02	7.4252700000000004e+02	
3.5000000000000000e+00	7.9838499999999999e+02	7.9877400000000000e+02	7.9377700000000004e+02	8.0364999999999998e+02	7.9314300000000003e+02	7.9736400000000003e+02	8.0066999999999996e+02	8.0874599999999998e+02	7.9811900000000003e+02	
3.7500000000000000e+00	8.8024800000000005e+02	8.7790899999999999e+02	8.5883799999999997e+02	8.8562199999999996e+02	8.6503599999999994e+02	8.7966999999999996e+02	8.6982700000000000e+02	8.7015999999999997e+02	8.7655999999999995e+02	
